File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF075GSB	tar	tar		differential splicing quantifications	hg19	ENCSR812TLY	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55109/'], '@type': ['Target', 'Item'], 'name': 'AGGF1-human', 'label': 'AGGF1', '@id': '/targets/AGGF1-human/', 'title': 'AGGF1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': 'fbc8875b-5854-4702-9a0c-47b939de7724', 'status': 'released'}				AGGF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-06-13	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF492ABJ/, /files/ENCFF762MIT/, /files/ENCFF695KEA/, /files/ENCFF848JJM/	5995842	Brenton Graveley, UConn	3a85c443f18624057954742fd1326f08		https://www.encodeproject.org/files/ENCFF075GSB/@@download/ENCFF075GSB.tar.gz	V19			released	s3://encode-public/2019/11/13/7ca479aa-f9ba-451a-b06d-89ab64653f29/ENCFF075GSB.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/7ca479aa-f9ba-451a-b06d-89ab64653f29/ENCFF075GSB.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF889OKF	tar	tar		differential splicing quantifications	hg19	ENCSR812TLY	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55109/'], '@type': ['Target', 'Item'], 'name': 'AGGF1-human', 'label': 'AGGF1', '@id': '/targets/AGGF1-human/', 'title': 'AGGF1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': 'fbc8875b-5854-4702-9a0c-47b939de7724', 'status': 'released'}				AGGF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-06-13	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF492ABJ/, /files/ENCFF762MIT/, /files/ENCFF695KEA/, /files/ENCFF848JJM/	17501994	Brenton Graveley, UConn	fabff36a7ca99101e2e0819eaf83d3be		https://www.encodeproject.org/files/ENCFF889OKF/@@download/ENCFF889OKF.tar.gz	V19			released	s3://encode-public/2019/11/13/6d661e46-b311-4367-b4eb-7a32f6efeff9/ENCFF889OKF.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/6d661e46-b311-4367-b4eb-7a32f6efeff9/ENCFF889OKF.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF909JSH	tar	tar		differential splicing quantifications	hg19	ENCSR812TLY	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55109/'], '@type': ['Target', 'Item'], 'name': 'AGGF1-human', 'label': 'AGGF1', '@id': '/targets/AGGF1-human/', 'title': 'AGGF1 (Homo sapiens)', 'investigated_as': ['other context'], 'uuid': 'fbc8875b-5854-4702-9a0c-47b939de7724', 'status': 'released'}				AGGF1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-06-13	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF492ABJ/, /files/ENCFF762MIT/, /files/ENCFF695KEA/, /files/ENCFF848JJM/	4396100	Brenton Graveley, UConn	20db376c5cd334b325f4ad1f05ecf3f9		https://www.encodeproject.org/files/ENCFF909JSH/@@download/ENCFF909JSH.tar.gz	V19			released	s3://encode-public/2019/11/13/d94d9646-5e35-4204-a053-488064f1ca2e/ENCFF909JSH.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/d94d9646-5e35-4204-a053-488064f1ca2e/ENCFF909JSH.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF810OXT	tar	tar		differential splicing quantifications	hg19	ENCSR647NYX	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4841/'], '@type': ['Target', 'Item'], 'name': 'NONO-human', 'label': 'NONO', '@id': '/targets/NONO-human/', 'title': 'NONO (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '0c782976-c8df-4c9c-a23e-a0aedfdc313b', 'status': 'released'}				NONO-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF905RMN/, /files/ENCFF743IBK/, /files/ENCFF705LNP/, /files/ENCFF038LUH/	4498270	Brenton Graveley, UConn	39ebb1cb26153ef94054b78b50d1990e		https://www.encodeproject.org/files/ENCFF810OXT/@@download/ENCFF810OXT.tar.gz	V19			released	s3://encode-public/2019/11/13/5d1b5a10-6db5-4a66-9cf0-fa46ae9e8f02/ENCFF810OXT.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/5d1b5a10-6db5-4a66-9cf0-fa46ae9e8f02/ENCFF810OXT.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF538KFW	tar	tar		differential splicing quantifications	hg19	ENCSR647NYX	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4841/'], '@type': ['Target', 'Item'], 'name': 'NONO-human', 'label': 'NONO', '@id': '/targets/NONO-human/', 'title': 'NONO (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '0c782976-c8df-4c9c-a23e-a0aedfdc313b', 'status': 'released'}				NONO-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF905RMN/, /files/ENCFF743IBK/, /files/ENCFF705LNP/, /files/ENCFF038LUH/	16039417	Brenton Graveley, UConn	812b9da4644b9096783b09e6cf16eef3		https://www.encodeproject.org/files/ENCFF538KFW/@@download/ENCFF538KFW.tar.gz	V19			released	s3://encode-public/2019/11/13/171469c8-8efa-4668-86d0-2e84d0ab3327/ENCFF538KFW.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/171469c8-8efa-4668-86d0-2e84d0ab3327/ENCFF538KFW.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF771BKB	tar	tar		differential splicing quantifications	hg19	ENCSR647NYX	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4841/'], '@type': ['Target', 'Item'], 'name': 'NONO-human', 'label': 'NONO', '@id': '/targets/NONO-human/', 'title': 'NONO (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '0c782976-c8df-4c9c-a23e-a0aedfdc313b', 'status': 'released'}				NONO-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF905RMN/, /files/ENCFF743IBK/, /files/ENCFF705LNP/, /files/ENCFF038LUH/	3656939	Brenton Graveley, UConn	e7ca2cb6a915b66c40eb7c8b7c30db41		https://www.encodeproject.org/files/ENCFF771BKB/@@download/ENCFF771BKB.tar.gz	V19			released	s3://encode-public/2019/11/13/fff90bc3-10f5-4c9c-b211-5eaa6fa4c31f/ENCFF771BKB.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/fff90bc3-10f5-4c9c-b211-5eaa6fa4c31f/ENCFF771BKB.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF488KAN	tar	tar		differential splicing quantifications	hg19	ENCSR192BPV	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10147/'], '@type': ['Target', 'Item'], 'name': 'SUGP2-human', 'label': 'SUGP2', '@id': '/targets/SUGP2-human/', 'title': 'SUGP2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '974cfe75-13c5-4561-a4f5-ebbede185edb', 'status': 'released'}				SUGP2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF158AIJ/, /files/ENCFF511ZEI/, /files/ENCFF490QNF/, /files/ENCFF669VSB/	4070725	Brenton Graveley, UConn	5568710302ed15e59e839a0ac460784a		https://www.encodeproject.org/files/ENCFF488KAN/@@download/ENCFF488KAN.tar.gz	V19			released	s3://encode-public/2019/11/13/dc0db2d2-2b15-4fbc-9c96-e914f6d4b940/ENCFF488KAN.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/dc0db2d2-2b15-4fbc-9c96-e914f6d4b940/ENCFF488KAN.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF529NIZ	tar	tar		differential splicing quantifications	hg19	ENCSR192BPV	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10147/'], '@type': ['Target', 'Item'], 'name': 'SUGP2-human', 'label': 'SUGP2', '@id': '/targets/SUGP2-human/', 'title': 'SUGP2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '974cfe75-13c5-4561-a4f5-ebbede185edb', 'status': 'released'}				SUGP2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF158AIJ/, /files/ENCFF511ZEI/, /files/ENCFF490QNF/, /files/ENCFF669VSB/	5242205	Brenton Graveley, UConn	93b04e810f0c037e1c87aeb36c336064		https://www.encodeproject.org/files/ENCFF529NIZ/@@download/ENCFF529NIZ.tar.gz	V19			released	s3://encode-public/2019/11/13/54ac6de0-b95e-4fcb-9e65-8500b4ffb3dc/ENCFF529NIZ.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/54ac6de0-b95e-4fcb-9e65-8500b4ffb3dc/ENCFF529NIZ.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF873RQI	tar	tar		differential splicing quantifications	hg19	ENCSR192BPV	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10147/'], '@type': ['Target', 'Item'], 'name': 'SUGP2-human', 'label': 'SUGP2', '@id': '/targets/SUGP2-human/', 'title': 'SUGP2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '974cfe75-13c5-4561-a4f5-ebbede185edb', 'status': 'released'}				SUGP2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-16	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF158AIJ/, /files/ENCFF511ZEI/, /files/ENCFF490QNF/, /files/ENCFF669VSB/	17266431	Brenton Graveley, UConn	4827d7e9edb3e928dbbe9a34a46fd1cd		https://www.encodeproject.org/files/ENCFF873RQI/@@download/ENCFF873RQI.tar.gz	V19			released	s3://encode-public/2019/11/13/17ea3aab-b7b2-4a72-9182-0cff66486183/ENCFF873RQI.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/17ea3aab-b7b2-4a72-9182-0cff66486183/ENCFF873RQI.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF985ELI	tar	tar		differential splicing quantifications	hg19	ENCSR998MZP	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10594/'], '@type': ['Target', 'Item'], 'name': 'PRPF8-human', 'label': 'PRPF8', '@id': '/targets/PRPF8-human/', 'title': 'PRPF8 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'b472fd51-2218-4ee6-99c0-1c76840af22f', 'status': 'released'}				PRPF8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF556JQE/, /files/ENCFF082BNK/, /files/ENCFF705LNP/, /files/ENCFF038LUH/	3262614	Brenton Graveley, UConn	bfc58cbd3bc8e301ee90a1f9d6b460d5		https://www.encodeproject.org/files/ENCFF985ELI/@@download/ENCFF985ELI.tar.gz	V19			released	s3://encode-public/2019/11/13/0029a512-8001-478b-9487-90025df08ed2/ENCFF985ELI.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/0029a512-8001-478b-9487-90025df08ed2/ENCFF985ELI.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF232MJZ	tar	tar		differential splicing quantifications	hg19	ENCSR998MZP	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10594/'], '@type': ['Target', 'Item'], 'name': 'PRPF8-human', 'label': 'PRPF8', '@id': '/targets/PRPF8-human/', 'title': 'PRPF8 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'b472fd51-2218-4ee6-99c0-1c76840af22f', 'status': 'released'}				PRPF8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF556JQE/, /files/ENCFF082BNK/, /files/ENCFF705LNP/, /files/ENCFF038LUH/	4072784	Brenton Graveley, UConn	f2ee38d7c03cd4a87b8701a8674e3283		https://www.encodeproject.org/files/ENCFF232MJZ/@@download/ENCFF232MJZ.tar.gz	V19			released	s3://encode-public/2019/11/13/5199d74f-4582-4165-817a-07c28ac12adf/ENCFF232MJZ.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/5199d74f-4582-4165-817a-07c28ac12adf/ENCFF232MJZ.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF047ECT	tar	tar		differential splicing quantifications	hg19	ENCSR998MZP	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10594/'], '@type': ['Target', 'Item'], 'name': 'PRPF8-human', 'label': 'PRPF8', '@id': '/targets/PRPF8-human/', 'title': 'PRPF8 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'b472fd51-2218-4ee6-99c0-1c76840af22f', 'status': 'released'}				PRPF8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF556JQE/, /files/ENCFF082BNK/, /files/ENCFF705LNP/, /files/ENCFF038LUH/	15779959	Brenton Graveley, UConn	ba91513fcf260ea05773007820754357		https://www.encodeproject.org/files/ENCFF047ECT/@@download/ENCFF047ECT.tar.gz	V19			released	s3://encode-public/2019/11/13/009de225-2b3c-46cf-9b9f-f14f7fb11abe/ENCFF047ECT.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/009de225-2b3c-46cf-9b9f-f14f7fb11abe/ENCFF047ECT.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF088OTT	tar	tar		differential splicing quantifications	hg19	ENCSR560RSZ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11056/'], '@type': ['Target', 'Item'], 'name': 'DDX52-human', 'label': 'DDX52', '@id': '/targets/DDX52-human/', 'title': 'DDX52 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6e819de9-f2e9-4655-92cc-6f34fdf09e7e', 'status': 'released'}				DDX52-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF773SQT/, /files/ENCFF429WFE/, /files/ENCFF742XEQ/, /files/ENCFF362TIW/	3600799	Brenton Graveley, UConn	a29d0268bcdc3f042f0ff0ae7d2e12ca		https://www.encodeproject.org/files/ENCFF088OTT/@@download/ENCFF088OTT.tar.gz	V19			released	s3://encode-public/2019/11/13/ba284c30-7c03-4fda-9479-0a643aae1412/ENCFF088OTT.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/ba284c30-7c03-4fda-9479-0a643aae1412/ENCFF088OTT.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF699TOM	tar	tar		differential splicing quantifications	hg19	ENCSR560RSZ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11056/'], '@type': ['Target', 'Item'], 'name': 'DDX52-human', 'label': 'DDX52', '@id': '/targets/DDX52-human/', 'title': 'DDX52 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6e819de9-f2e9-4655-92cc-6f34fdf09e7e', 'status': 'released'}				DDX52-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF773SQT/, /files/ENCFF429WFE/, /files/ENCFF742XEQ/, /files/ENCFF362TIW/	4086905	Brenton Graveley, UConn	dc8bca62170d6cf88fb7149f41c59fb7		https://www.encodeproject.org/files/ENCFF699TOM/@@download/ENCFF699TOM.tar.gz	V19			released	s3://encode-public/2019/11/13/1f602385-d089-4d6c-83a4-44c0265a785e/ENCFF699TOM.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/1f602385-d089-4d6c-83a4-44c0265a785e/ENCFF699TOM.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF770UDB	tar	tar		differential splicing quantifications	hg19	ENCSR560RSZ	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/11056/'], '@type': ['Target', 'Item'], 'name': 'DDX52-human', 'label': 'DDX52', '@id': '/targets/DDX52-human/', 'title': 'DDX52 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '6e819de9-f2e9-4655-92cc-6f34fdf09e7e', 'status': 'released'}				DDX52-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF773SQT/, /files/ENCFF429WFE/, /files/ENCFF742XEQ/, /files/ENCFF362TIW/	15609366	Brenton Graveley, UConn	2409038b52970b5b81ed0de692b67285		https://www.encodeproject.org/files/ENCFF770UDB/@@download/ENCFF770UDB.tar.gz	V19			released	s3://encode-public/2019/11/13/1aad2f92-c5ad-4718-85d1-d3ace0332def/ENCFF770UDB.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/1aad2f92-c5ad-4718-85d1-d3ace0332def/ENCFF770UDB.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
