AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3HBF	EIF4G2BF	EWSR1BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SF3A3BF	SF3B4BF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
METAP2	0	0	0	0	0	0	0	-0.175227171813959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0372562852427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168537210809787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0438391373930255	0	0	0	0
MTPAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71153334526161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015834235727892	0.133653589674599
NCBP2	0	0	0	0	0	0	0	0	0	0	0	0	0.445335528784179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101590421179174	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0.741187562675901	0	0	0	0	0	1.8424483696669	0	0	0	0	0	0	0.0813211085951545	0	0	0.867616348431734	0	0	0	0	0	0.845938597491646	0.165160703101169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037083942139426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIP7	0.147824022643863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130637665056324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10228111344507	0	0.897098870056722	0	0	0	0	0	3.44252893781865	0.0988178491498878	0.818100312065786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952553965031272	0	0	0	0	0	0	0	0.13723966922591	0	0	0	0	0	0.156289536276053	0	0
NIPBL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.314508109878799	0	0	0	0	0	0.263246922852877	1.23574412440047	1.12176111774354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396802429255667	0	0	0	0	0	0	0	0	0.315065698463177	0	0
NOLC1	0.0642123419170006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81110178101839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857224851754842	0	0.81009558739813	0	0	0	0	0	0.710556970979028	0.879903626434759	4.58217853636708	0	0	0	0	0	0	0	0	0.00830509135356086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0.0482215898161374	0	0	0.0620474712653944	0	0	0	0	0	0.747663032972551	0	0
PABPC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264845249493617	0	0	0	0	0	0	0	0	0	8.0487937696419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8088108374706	0	0	0	0.102980660639663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026149432825212	0.241749194000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113021291003598	0	0	0	0	0	0	0	0	0	0	0	6.88585569393368	0.0133178947806507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00604455890262893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165764638780501	0.241749194000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	1.18185073503977	0	0	0	0	0.148883401181296	0	0	0	0	0	0.0320252526747231	0	0	0	0	0	0	3.69222245488165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600547785025141	0	0	0	0.0184160302839207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF6	0	0	0	0.469808701820144	0	0	0	0	0	0	0.436071055287838	0	0	0	0	0	0	0	0.469808701820144	0	0	0.295520932041446	0	0	0	0.469808701820144	0	0	0	0	0	0	0	0.157770674062244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469808701820144	0	0	0	0	0.168537210809787	0	0.0360915401309858	0	0	0	0	0	0	0	0.540663633497576	0.0446836151651055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIG	0	0	0	0	0	-2.3592454207244	0	-0.739505540660465	0	0	0	0	0	0	0	0	0	0	0	-0.109368857556125	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106498760125529	0	0	0.0186766614150466	0	0	0	0	0	0	0	-0.0110294603705681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.0796553180679	0	-0.315772191347545	0	0	0	0	-0.845938597491646	-2.24724741541762	0	-0.161791177736462	0	-0.331162448713517	-1.63580178513746	0	0	0	0	0	0	0	0	0	0	-0.1555877665895	-0.0983147154629488	0	0	0	-0.0602871246232729	-0.557478321017345	0	0	0	0	0	0	0	0	0	-0.278119116625313
PRPF4	0	0	0	0	0	0	0	0	0	0	0.862130395473351	0	0.198147581964905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173457948247522	0	0	0	0	0	0	0	0	0.156241316178294	0	0	0	0	0	0.543933835426191	0	0	0	0	0	0	0	0	0	9.66565653494437	0	0	0	0	0	0.106588070108588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF8	0	0	-0.269071467719452	0	0	0	-0.55902445404242	-0.175227171813959	0	0	0	0	0	0	0	0	0	0	0	-0.109368857556125	0	-0.295520932041446	0	0	0	0	0	0	0	0	0	0	0	-0.106498760125529	0	0	-0.545779263649989	0	0	0	0	0	0	0	-0.222370289426251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16876329456497	-0.0235878710673077	6.71211808053599	0	-0.168537210809787	0	0	0	0	0	0	0	0	-0.0494279766331368	0	-0.218364891956534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.804847367996143	0	0	0	0	0	0	0	0	-0.924039189858659	-0.223944636247162
PTBP1	0	0	0	0	0	0	0	0	0.230048095948827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143829090030893	0	0	0	0	0	0	0	0	0.0722375754813628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUM1	0	0	0	0.0955333075216404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0955333075216404	0	0	0	0	0	0	0.0955333075216404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156403463930112	0	0	0	0	0	0	0	0	0	0.0955333075216404	0	0	0	0	8.66179346168347	0	0	0	0	0	0	0	0	0	0.0702863128194717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202388382929066	0	0	0	0	0	0	0	0	0	0.223944636247162
PUM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.47502559582503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBFOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295520932041446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0660560435243	0	0.11885147599404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM15	0	0	0	0	0	0	0	0	0	0	0	0	0.0649024956336475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0.148883401181296	0	0	0	0	0	0.508605880408411	0	0	0	0	0	0	0	0	-0.0953165078111799	0.0235878710673077	0	0	0	0	0	12.4720130506765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124266439161456	0	0	0	0	0	0	0	0	0.247311548428077	0
RBM22	0	0	0	0	0	0.254274892317512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.451504281498484	0	0	0	0	0	0.0360915401309858	0	15.3312005290797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0624359337414082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235355925810053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7739939866787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156241316178294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102980660639663	0	0	0	0	0	0	0	0	0	11.9977670472074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71153334526161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7037591629581	0.11659264081365	0	0.0446836151651055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3B4	0	0	0	0	0	-0.294619507556983	-0.158398006585863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.844128198388014	0	0	0	0	0	0	0	0	-0.148883401181296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.565637357922981	0	0	0	-0.168537210809787	0	0	0	-0.165160703101169	0	0	0	0	9.71267733757037	0	0	0	0	0	0	0	0	0	0	-0.127261040256724	0	-0.0667944570727174	0	0	0	-0.372550059470532	0	0	0	0	0	0	0	0	-0.247311548428077	0
SLTM	0	0	0	0.39218160262919	0	0	0	0	0	0	0.314399445300259	0	0	0	0	0	0	0	0.39218160262919	0	0	0.208853830208689	0	0	0	0.39218160262919	0	0	0	0	0	0	0	0.106498760125529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39218160262919	0	0	0	0	0.168537210809787	0	0	0	0	0	0	0	0	0	1.48831827571296	0.00855023937758011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMNDC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0514737831201363	0.0537528870534089	0	12.5594202250038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973103587559617	0	0	0	0	0
SND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4849518366382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2379962320546	0	0	0	0	0	0	0.0784754408354834	0	0	0	0	0	0.0294391348373235	0	0	0	0	0	0	0	0	0	0
SRSF7	0	0	0	0	0	0	0.0293915734555813	0	0	0	0	0	0	0	0	0.165764638780501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00855023937758011	0	0	1.27292617947201	0	0	0	0	0	0.1555877665895	0.0624359337414082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015834235727892	0
SRSF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00855023937758011	0	0	0	2.01492246014782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92838267576674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165764638780501	0.241749194000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0363087572254309	0	0	0	0	0.741187562675901	0	0	0	0	0	0	0	0	0	0	0	0	0.0813211085951545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80842727057035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUPV3L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320252526747231	0	0	0	0	0	0	0.0813211085951545	0	0	0	0	0	0	0	0	0	0.165160703101169	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29013866340659	0	0	0.498885218258416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARDBP	0	0	0	0	0	0	0	0	0.031199877646318	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99687191745409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0.304955787973084	0	0	0	0	0	0	0	0	0	0.128210794657836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.41241409930003	0.498885218258416	0	0	0	0.0482215898161374	0	0	0	0	0	0	0	0	0	0.214669991856967	0
TIAL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0.0274441668123352	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00633528950408311	0	0	0	0	0	0	0	0	0	0.165160703101169	0	0	0	0	0	0	0	0	0	0	0	0	0	0.410063836155388	0	0.27306723323127	6.47519932554278	0	0	0	0.68240687329536	0	0	0	0	0	0	0	0	0	0	0
TRA2A	0	0	0	0	0	0	0.34110959160177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857224851754842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.92484325038259	0	0	0	0.197822385294762	0	0	0	0	0	0	0	0	0.247311548428077	1.15056575935802
TROVE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466511883154282	0	0	0	0	0	0	0	0	0	0	0	0	0
U2AF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235355925810053	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113669925563602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446836151651055	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	7.12900947698091	2.70231239507242	0	0	0	0	0	0	0	0	0	0	0
U2AF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0	0	0	0	0	0	0	0.0988178491498878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0952553965031272	0.473355988925557	0	0	2.26413121412677	16.9433266027269	0	0	0	0	0	0	0	0	0	0	0
UCHL5	0	0	0	0	0	0	0.937312172168397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438905243397579	0	0	0	0.358245440550584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0451973184451275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044150804834078	0	0	0	17.2965958257599	0	0	0	0	0	0	0	0	1.4049875777322	0.278119116625313
UPF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0.0624359337414082	0	0	0	0	0	1.64999462959856	0	0	0	0	0	0	0	0	0
WDR43	0.298183008253327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280817251964748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0.314508109878799	0	0	0	0	0	0.263246922852877	0	0.128210794657836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0	0	0	1.31182791761554	0	0	0	0.0438391373930255	0	0.315065698463177	0	0
XPO5	0	0	0.218032841209121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288256037746819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.45241866620873	0	0	0	0	0	0	0
XRCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17188470074745	0	0	0	0.156241316178294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168537210809787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294391348373235	0	0	0	1.77787064413736	0	0	0	0	0	0
XRN2	0	0	0	0	0	0.097354858618085	0	0.152843399818179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320252526747231	0	0	0	0	0	0	0	0	0	0.0235878710673077	0	0	0	0	0	0	0.165160703101169	0	0	0	0.236352416199022	0.0537528870534089	0	1.45798984248641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0332186665678	0	0	0	0	0
YBX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577012679574057	0.222370289426251	0	0	0	0	0.00610416307853024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9544298181774	0	0	0	0
ZC3H11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0.021072202152374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127261040256724	0.037083942139426	0	0	0	0	0	0	0	0	0	0	0	3.06649571191436	0	0	0
ZC3H8	0.298183008253327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280817251964748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0.314508109878799	0	0	0	0	0	0.263246922852877	0.140211940967614	1.12176111774354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0	0	0	0.275903456885534	0	0	0	0.0438391373930255	0	1.1015844618543	0	0
ZNF622	0	0	0	0	0	0	0.711508791810635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186766614150466	0	0	0	0	0	0	0	0.0857224851754842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0.134478637436595	0	0	0	1.69953117643536	0	0	0	0	0	0	0	0	13.5134800510422	0.536732047891261
ZNF800	0	0	0	0	0	0	0.0293915734555813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083574167941793	0	0	0	0	0	0	0	0	0	0	0	0.0577012679574057	0.222370289426251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102980660639663	0	0	0	0.168537210809787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14960287707658	0	0	0	0.372550059470532	0	0	0	0	0	0	0	0	0.335475896695591	11.4193015781744
